geo,nace_r2,anno,dipendenti_migliaia
ES,C,1981,NA
ES,C,1982,NA
ES,C,1983,NA
ES,C,1984,NA
ES,C,1985,NA
ES,C,1986,NA
ES,C,1987,NA
ES,C,1988,NA
ES,C,1989,NA
ES,C,1990,NA
ES,C,1991,NA
ES,C,1992,NA
ES,C,1993,NA
ES,C,1994,NA
ES,C,1995,2220.6
ES,C,1996,2298.3
ES,C,1997,2420.5
ES,C,1998,2509.2
ES,C,1999,2597.5
ES,C,2000,2691.5
ES,C,2001,2709
ES,C,2002,2682.7
ES,C,2003,2690.8
ES,C,2004,2703
ES,C,2005,2702.4
ES,C,2006,2658
ES,C,2007,2596.9
ES,C,2008,2556.3
ES,C,2009,2235.5
ES,C,2010,2135.2
ES,C,2011,2049.6
ES,C,2012,1894.2
ES,C,2013,1796
ES,C,2014,1777.7
ES,C,2015,1827.9
ES,C,2016,1894.9
ES,C,2017,1951.8
ES,C,2018,1997.7
ES,C,2019,2059.9
ES,C,2020,1968.6
ES,C,2021,1949.8
ES,C,2022,2001
ES,C,2023,2037.7
ES,C,2024,2088.1
ES,C,2025,2160.1
ES,TOTAL,1975,NA
ES,TOTAL,1976,NA
ES,TOTAL,1977,NA
ES,TOTAL,1978,NA
ES,TOTAL,1979,NA
ES,TOTAL,1980,NA
ES,TOTAL,1981,NA
ES,TOTAL,1982,NA
ES,TOTAL,1983,NA
ES,TOTAL,1984,NA
ES,TOTAL,1985,NA
ES,TOTAL,1986,NA
ES,TOTAL,1987,NA
ES,TOTAL,1988,NA
ES,TOTAL,1989,NA
ES,TOTAL,1990,NA
ES,TOTAL,1991,NA
ES,TOTAL,1992,NA
ES,TOTAL,1993,NA
ES,TOTAL,1994,NA
ES,TOTAL,1995,11071.7
ES,TOTAL,1996,11269.6
ES,TOTAL,1997,11879.9
ES,TOTAL,1998,12463.7
ES,TOTAL,1999,13136
ES,TOTAL,2000,13883.2
ES,TOTAL,2001,14393
ES,TOTAL,2002,14813.3
ES,TOTAL,2003,15393.7
ES,TOTAL,2004,15999.5
ES,TOTAL,2005,16754.5
ES,TOTAL,2006,17544.9
ES,TOTAL,2007,18193.7
ES,TOTAL,2008,18236.8
ES,TOTAL,2009,17098.2
ES,TOTAL,2010,16799.5
ES,TOTAL,2011,16382
ES,TOTAL,2012,15549.6
ES,TOTAL,2013,15127.7
ES,TOTAL,2014,15293.6
ES,TOTAL,2015,15772
ES,TOTAL,2016,16129.6
ES,TOTAL,2017,16645.6
ES,TOTAL,2018,17063.5
ES,TOTAL,2019,17553.4
ES,TOTAL,2020,16709.1
ES,TOTAL,2021,17145.8
ES,TOTAL,2022,17790.5
ES,TOTAL,2023,18368.9
ES,TOTAL,2024,18849.6
ES,TOTAL,2025,19374.3
EU27_2020,B-E,1975,NA
EU27_2020,B-E,1976,NA
EU27_2020,B-E,1977,NA
EU27_2020,B-E,1978,NA
EU27_2020,B-E,1979,NA
EU27_2020,B-E,1980,NA
EU27_2020,B-E,1981,NA
EU27_2020,B-E,1982,NA
EU27_2020,B-E,1983,NA
EU27_2020,B-E,1984,NA
EU27_2020,B-E,1985,NA
EU27_2020,B-E,1986,NA
EU27_2020,B-E,1987,NA
EU27_2020,B-E,1988,NA
EU27_2020,B-E,1989,NA
EU27_2020,B-E,1990,NA
EU27_2020,B-E,1991,NA
EU27_2020,B-E,1992,NA
EU27_2020,B-E,1993,NA
EU27_2020,B-E,1994,NA
EU27_2020,B-E,1995,35948.45
EU27_2020,B-E,1996,35763.63
EU27_2020,B-E,1997,35685.16
EU27_2020,B-E,1998,35701.63
EU27_2020,B-E,1999,35138.76
EU27_2020,B-E,2000,35009.73
EU27_2020,B-E,2001,34860.69
EU27_2020,B-E,2002,34360.59
EU27_2020,B-E,2003,33781.64
EU27_2020,B-E,2004,33322.27
EU27_2020,B-E,2005,33066.39
EU27_2020,B-E,2006,33106.81
EU27_2020,B-E,2007,33386.39
EU27_2020,B-E,2008,33542.43
EU27_2020,B-E,2009,31568.73
EU27_2020,B-E,2010,30381.45
EU27_2020,B-E,2011,30525.2
EU27_2020,B-E,2012,30372.39
EU27_2020,B-E,2013,30092.17
EU27_2020,B-E,2014,30204.02
EU27_2020,B-E,2015,30280.49
EU27_2020,B-E,2016,30736.89
EU27_2020,B-E,2017,31220.09
EU27_2020,B-E,2018,31667.13
EU27_2020,B-E,2019,32004.66
EU27_2020,B-E,2020,31264.45
EU27_2020,B-E,2021,31232.36
EU27_2020,B-E,2022,31608.97
EU27_2020,B-E,2023,31642.9
EU27_2020,B-E,2024,31755.78
EU27_2020,B-E,2025,31575.61
EU27_2020,C,1975,NA
EU27_2020,C,1976,NA
EU27_2020,C,1977,NA
EU27_2020,C,1978,NA
EU27_2020,C,1979,NA
EU27_2020,C,1980,NA
EU27_2020,C,1981,NA
EU27_2020,C,1982,NA
EU27_2020,C,1983,NA
EU27_2020,C,1984,NA
EU27_2020,C,1985,NA
EU27_2020,C,1986,NA
EU27_2020,C,1987,NA
EU27_2020,C,1988,NA
EU27_2020,C,1989,NA
EU27_2020,C,1990,NA
EU27_2020,C,1991,NA
EU27_2020,C,1992,NA
EU27_2020,C,1993,NA
EU27_2020,C,1994,NA
EU27_2020,C,1995,32270.65
EU27_2020,C,1996,32103.53
EU27_2020,C,1997,32081.91
EU27_2020,C,1998,32152.83
EU27_2020,C,1999,31696.32
EU27_2020,C,2000,31649.38
EU27_2020,C,2001,31614.95
EU27_2020,C,2002,31154.1
EU27_2020,C,2003,30648.48
EU27_2020,C,2004,30139.21
EU27_2020,C,2005,29881.75
EU27_2020,C,2006,29886.9
EU27_2020,C,2007,30200.52
EU27_2020,C,2008,30380.79
EU27_2020,C,2009,28434.79
EU27_2020,C,2010,27259.11
EU27_2020,C,2011,27396.12
EU27_2020,C,2012,27222.87
EU27_2020,C,2013,26941.13
EU27_2020,C,2014,27032.15
EU27_2020,C,2015,27161.12
EU27_2020,C,2016,27621.63
EU27_2020,C,2017,28129.35
EU27_2020,C,2018,28558.11
EU27_2020,C,2019,28790.88
EU27_2020,C,2020,28046.39
EU27_2020,C,2021,27998.49
EU27_2020,C,2022,28354.65
EU27_2020,C,2023,28371.46
EU27_2020,C,2024,28393.71
EU27_2020,C,2025,28168.98
EU27_2020,TOTAL,1975,NA
EU27_2020,TOTAL,1976,NA
EU27_2020,TOTAL,1977,NA
EU27_2020,TOTAL,1978,NA
EU27_2020,TOTAL,1979,NA
EU27_2020,TOTAL,1980,NA
EU27_2020,TOTAL,1981,NA
EU27_2020,TOTAL,1982,NA
EU27_2020,TOTAL,1983,NA
EU27_2020,TOTAL,1984,NA
EU27_2020,TOTAL,1985,NA
EU27_2020,TOTAL,1986,NA
EU27_2020,TOTAL,1987,NA
EU27_2020,TOTAL,1988,NA
EU27_2020,TOTAL,1989,NA
EU27_2020,TOTAL,1990,NA
EU27_2020,TOTAL,1991,NA
EU27_2020,TOTAL,1992,NA
EU27_2020,TOTAL,1993,NA
EU27_2020,TOTAL,1994,NA
EU27_2020,TOTAL,1995,144276.33
EU27_2020,TOTAL,1996,145049.78
EU27_2020,TOTAL,1997,146504.37
EU27_2020,TOTAL,1998,148585.63
EU27_2020,TOTAL,1999,150459.04
EU27_2020,TOTAL,2000,153188.23
EU27_2020,TOTAL,2001,154461.38
EU27_2020,TOTAL,2002,155569.68
EU27_2020,TOTAL,2003,155847.21
EU27_2020,TOTAL,2004,157112
EU27_2020,TOTAL,2005,158982.38
EU27_2020,TOTAL,2006,162448.98
EU27_2020,TOTAL,2007,166298.78
EU27_2020,TOTAL,2008,168380.36
EU27_2020,TOTAL,2009,165339
EU27_2020,TOTAL,2010,163608.36
EU27_2020,TOTAL,2011,163958.85
EU27_2020,TOTAL,2012,163543.56
EU27_2020,TOTAL,2013,163107.89
EU27_2020,TOTAL,2014,164839.65
EU27_2020,TOTAL,2015,167093.71
EU27_2020,TOTAL,2016,170043.94
EU27_2020,TOTAL,2017,173351.97
EU27_2020,TOTAL,2018,176392.34
EU27_2020,TOTAL,2019,179144.8
EU27_2020,TOTAL,2020,176541.77
EU27_2020,TOTAL,2021,179581.55
EU27_2020,TOTAL,2022,183818.11
EU27_2020,TOTAL,2023,186282.86
EU27_2020,TOTAL,2024,188016.01
EU27_2020,TOTAL,2025,189239.94
FR,B-E,1975,5113
FR,B-E,1976,5108
FR,B-E,1977,5113
FR,B-E,1978,5064
FR,B-E,1979,4990
FR,B-E,1980,4936
FR,B-E,1981,4780
FR,B-E,1982,4710
FR,B-E,1983,4631
FR,B-E,1984,4489
FR,B-E,1985,4369
FR,B-E,1986,4285
FR,B-E,1987,4177
FR,B-E,1988,4113
FR,B-E,1989,4128
FR,B-E,1990,4140
FR,B-E,1991,4076
FR,B-E,1992,3943
FR,B-E,1993,3766
FR,B-E,1994,3678
FR,B-E,1995,3688
FR,B-E,1996,3663
FR,B-E,1997,3633
FR,B-E,1998,3634
FR,B-E,1999,3619
FR,B-E,2000,3639
FR,B-E,2001,3657
FR,B-E,2002,3592
FR,B-E,2003,3518
FR,B-E,2004,3409
FR,B-E,2005,3338
FR,B-E,2006,3273
FR,B-E,2007,3238
FR,B-E,2008,3194
FR,B-E,2009,3053
FR,B-E,2010,2920
FR,B-E,2011,2900
FR,B-E,2012,2885
FR,B-E,2013,2854
FR,B-E,2014,2834
FR,B-E,2015,2782
FR,B-E,2016,2770
FR,B-E,2017,2750
FR,B-E,2018,2752
FR,B-E,2019,2836
FR,B-E,2020,2826
FR,B-E,2021,2836
FR,B-E,2022,2874
FR,B-E,2023,2903
FR,B-E,2024,2925
FR,B-E,2025,2922
FR,C,1975,4858
FR,C,1976,4853
FR,C,1977,4858
FR,C,1978,4810
FR,C,1979,4736
FR,C,1980,4682
FR,C,1981,4523
FR,C,1982,4448
FR,C,1983,4361
FR,C,1984,4220
FR,C,1985,4104
FR,C,1986,4022
FR,C,1987,3917
FR,C,1988,3855
FR,C,1989,3874
FR,C,1990,3891
FR,C,1991,3831
FR,C,1992,3700
FR,C,1993,3527
FR,C,1994,3438
FR,C,1995,3447
FR,C,1996,3421
FR,C,1997,3389
FR,C,1998,3389
FR,C,1999,3373
FR,C,2000,3383
FR,C,2001,3398
FR,C,2002,3334
FR,C,2003,3261
FR,C,2004,3149
FR,C,2005,3077
FR,C,2006,3012
FR,C,2007,2977
FR,C,2008,2942
FR,C,2009,2796
FR,C,2010,2659
FR,C,2011,2639
FR,C,2012,2622
FR,C,2013,2588
FR,C,2014,2569
FR,C,2015,2516
FR,C,2016,2503
FR,C,2017,2487
FR,C,2018,2488
FR,C,2019,2565
FR,C,2020,2549
FR,C,2021,2557
FR,C,2022,2595
FR,C,2023,2619
FR,C,2024,2635
FR,C,2025,2626
FR,TOTAL,1975,18036
FR,TOTAL,1976,18286
FR,TOTAL,1977,18540
FR,TOTAL,1978,18722
FR,TOTAL,1979,18906
FR,TOTAL,1980,19052
FR,TOTAL,1981,19085
FR,TOTAL,1982,19218
FR,TOTAL,1983,19244
FR,TOTAL,1984,19198
FR,TOTAL,1985,19226
FR,TOTAL,1986,19377
FR,TOTAL,1987,19619
FR,TOTAL,1988,19876
FR,TOTAL,1989,20330
FR,TOTAL,1990,20616
FR,TOTAL,1991,20781
FR,TOTAL,1992,20772
FR,TOTAL,1993,20672
FR,TOTAL,1994,20897
FR,TOTAL,1995,21219
FR,TOTAL,1996,21431
FR,TOTAL,1997,21673
FR,TOTAL,1998,22141
FR,TOTAL,1999,22753
FR,TOTAL,2000,23398
FR,TOTAL,2001,23796
FR,TOTAL,2002,23934
FR,TOTAL,2003,23944
FR,TOTAL,2004,23958
FR,TOTAL,2005,24103
FR,TOTAL,2006,24365
FR,TOTAL,2007,24729
FR,TOTAL,2008,24848
FR,TOTAL,2009,24529
FR,TOTAL,2010,24489
FR,TOTAL,2011,24601
FR,TOTAL,2012,24611
FR,TOTAL,2013,24558
FR,TOTAL,2014,24653
FR,TOTAL,2015,24721
FR,TOTAL,2016,24920
FR,TOTAL,2017,25222
FR,TOTAL,2018,25463
FR,TOTAL,2019,25704
FR,TOTAL,2020,25610
FR,TOTAL,2021,26248
FR,TOTAL,2022,26808
FR,TOTAL,2023,27065
FR,TOTAL,2024,27208
FR,TOTAL,2025,27166
IT,B-E,1975,NA
IT,B-E,1976,NA
IT,B-E,1977,NA
IT,B-E,1978,NA
IT,B-E,1979,NA
IT,B-E,1980,NA
IT,B-E,1981,NA
IT,B-E,1982,NA
IT,B-E,1983,NA
IT,B-E,1984,NA
IT,B-E,1985,NA
IT,B-E,1986,NA
IT,B-E,1987,NA
IT,B-E,1988,NA
IT,B-E,1989,NA
IT,B-E,1990,NA
IT,B-E,1991,NA
IT,B-E,1992,NA
IT,B-E,1993,NA
IT,B-E,1994,NA
IT,B-E,1995,4121.5
IT,B-E,1996,4087.8
IT,B-E,1997,4081.6
IT,B-E,1998,4160.9
IT,B-E,1999,4137
IT,B-E,2000,4115.4
IT,B-E,2001,4121.3
IT,B-E,2002,4144.3
IT,B-E,2003,4162.3
IT,B-E,2004,4115.7
IT,B-E,2005,4112.3
IT,B-E,2006,4157.9
IT,B-E,2007,4175.4
IT,B-E,2008,4144.2
IT,B-E,2009,3969.5
IT,B-E,2010,3821.5
IT,B-E,2011,3799.8
IT,B-E,2012,3741.7
IT,B-E,2013,3633
IT,B-E,2014,3577.7
IT,B-E,2015,3554.1
IT,B-E,2016,3602.8
IT,B-E,2017,3641.2
IT,B-E,2018,3693.4
IT,B-E,2019,3733.6
IT,B-E,2020,3698.5
IT,B-E,2021,3715.2
IT,B-E,2022,3775.3
IT,B-E,2023,3849.9
IT,B-E,2024,3890.1
IT,B-E,2025,3868.7
IT,C,1975,NA
IT,C,1976,NA
IT,C,1977,NA
IT,C,1978,NA
IT,C,1979,NA
IT,C,1980,NA
IT,C,1981,NA
IT,C,1982,NA
IT,C,1983,NA
IT,C,1984,NA
IT,C,1985,NA
IT,C,1986,NA
IT,C,1987,NA
IT,C,1988,NA
IT,C,1989,NA
IT,C,1990,NA
IT,C,1991,NA
IT,C,1992,NA
IT,C,1993,NA
IT,C,1994,NA
IT,C,1995,3869.3
IT,C,1996,3832.1
IT,C,1997,3828.9
IT,C,1998,3904.1
IT,C,1999,3873.9
IT,C,2000,3847.6
IT,C,2001,3851.6
IT,C,2002,3869.4
IT,C,2003,3885.2
IT,C,2004,3841.3
IT,C,2005,3829.4
IT,C,2006,3861.3
IT,C,2007,3880
IT,C,2008,3849.9
IT,C,2009,3673.2
IT,C,2010,3525.6
IT,C,2011,3500.3
IT,C,2012,3435.4
IT,C,2013,3332.4
IT,C,2014,3277.4
IT,C,2015,3253.8
IT,C,2016,3297.9
IT,C,2017,3334.7
IT,C,2018,3382.4
IT,C,2019,3418.1
IT,C,2020,3383.7
IT,C,2021,3396.6
IT,C,2022,3450.4
IT,C,2023,3515.5
IT,C,2024,3546.5
IT,C,2025,3518.9
IT,TOTAL,1975,NA
IT,TOTAL,1976,NA
IT,TOTAL,1977,NA
IT,TOTAL,1978,NA
IT,TOTAL,1979,NA
IT,TOTAL,1980,NA
IT,TOTAL,1981,NA
IT,TOTAL,1982,NA
IT,TOTAL,1983,NA
IT,TOTAL,1984,NA
IT,TOTAL,1985,NA
IT,TOTAL,1986,NA
IT,TOTAL,1987,NA
IT,TOTAL,1988,NA
IT,TOTAL,1989,NA
IT,TOTAL,1990,NA
IT,TOTAL,1991,NA
IT,TOTAL,1992,NA
IT,TOTAL,1993,NA
IT,TOTAL,1994,NA
IT,TOTAL,1995,15474.5
IT,TOTAL,1996,15540.1
IT,TOTAL,1997,15603.9
IT,TOTAL,1998,15750.7
IT,TOTAL,1999,15980.2
IT,TOTAL,2000,16272.9
IT,TOTAL,2001,16632.1
IT,TOTAL,2002,17031.5
IT,TOTAL,2003,17269.4
IT,TOTAL,2004,17299.2
IT,TOTAL,2005,17589.3
IT,TOTAL,2006,17978.7
IT,TOTAL,2007,18265.7
IT,TOTAL,2008,18400.1
IT,TOTAL,2009,18182.3
IT,TOTAL,2010,17988.3
IT,TOTAL,2011,18050.8
IT,TOTAL,2012,18033.7
IT,TOTAL,2013,17717.8
IT,TOTAL,2014,17724.3
IT,TOTAL,2015,17907.8
IT,TOTAL,2016,18294.3
IT,TOTAL,2017,18682.6
IT,TOTAL,2018,18947.1
IT,TOTAL,2019,19112.9
IT,TOTAL,2020,18778.8
IT,TOTAL,2021,19147.9
IT,TOTAL,2022,19594.6
IT,TOTAL,2023,20052.8
IT,TOTAL,2024,20443.3
IT,TOTAL,2025,20616.9
