classe_aggregata,metrica,quota
"Grandi
250 addetti e più",Quota dei dipendenti,28.979820112702694
"Medie
50-249 addetti",Quota dei dipendenti,23.7288784561018
"Microimprese
1-9 addetti",Quota dei dipendenti,19.235448355151313
"Piccole
10-49 addetti",Quota dei dipendenti,28.055853076044198
"Grandi
250 addetti e più",Quota delle imprese,0.4477281626121449
"Medie
50-249 addetti",Quota delle imprese,2.699988083280843
"Microimprese
1-9 addetti",Quota delle imprese,80.6254007706145
"Piccole
10-49 addetti",Quota delle imprese,16.22688298349251
"Grandi
250 addetti e più",Quota del valore aggiunto,41.8142265544758
"Medie
50-249 addetti",Quota del valore aggiunto,26.909844730752404
"Microimprese
1-9 addetti",Quota del valore aggiunto,8.964720473951191
"Piccole
10-49 addetti",Quota del valore aggiunto,22.3112082408206
