"Provincia","Comune","Cognome","Nome","Lista","Voti"
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","NOI MODERATI",141
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","FORZA ITALIA",112
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",26
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","DEMOCRAZIA CRISTIANA UNIONE DI CENTRO",22
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","FORZA AZZURRI",16
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","OCCHIUTO PRESIDENTE",15
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","LEGA PER SALVINI CALABRIA",6
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO","SUD CHIAMA NORD - PER LE AUTONOMIE - PARTITO ANIMALISTA",0
"COSENZA","ACQUAFORMOSA","TRIDICO","PASQUALE","PARTITO DEMOCRATICO",84
"COSENZA","ACQUAFORMOSA","TRIDICO","PASQUALE","MOVIMENTO 5 STELLE 2050",31
"COSENZA","ACQUAFORMOSA","TRIDICO","PASQUALE","TRIDICO PRESIDENTE",23
"COSENZA","ACQUAFORMOSA","TRIDICO","PASQUALE","ALLEANZA VERDI E SINISTRA",16
"COSENZA","ACQUAFORMOSA","TRIDICO","PASQUALE","DEMOCRATICI PROGRESSISTI",3
"COSENZA","ACQUAFORMOSA","TRIDICO","PASQUALE","CASA RIFORMISTA - PER LA CALABRIA - ITALIA VIVA",3
"COSENZA","ACQUAFORMOSA","TOSCANO","FRANCESCO","DEMOCRAZIA SOVRANA POPOLARE",3
"COSENZA","ACQUAPPESA","OCCHIUTO","ROBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",126
"COSENZA","ACQUAPPESA","OCCHIUTO","ROBERTO","FORZA ITALIA",117
"COSENZA","ACQUAPPESA","OCCHIUTO","ROBERTO","OCCHIUTO PRESIDENTE",77
"COSENZA","ACQUAPPESA","OCCHIUTO","ROBERTO","LEGA PER SALVINI CALABRIA",38
